Local time,Ask,Bid
22.06.2016 08:01:49.632 GMT+0100,6254.063,6252.59
22.06.2016 08:01:50.012 GMT+0100,6253.6,6253.5
22.06.2016 08:01:50.359 GMT+0100,6253.693,6253.5
22.06.2016 08:01:50.410 GMT+0100,6253.51,6252.03
22.06.2016 08:01:50.577 GMT+0100,6253.03,6252.8
22.06.2016 08:01:50.628 GMT+0100,6253.077,6251.63
22.06.2016 08:01:51.231 GMT+0100,6252.63,6252.5
22.06.2016 08:01:51.636 GMT+0100,6252.82,6251.46
22.06.2016 08:01:52.493 GMT+0100,6252.5,6251.5
22.06.2016 08:01:52.932 GMT+0100,6253.31,6252.31
22.06.2016 08:01:53.393 GMT+0100,6253.08,6252.08
22.06.2016 08:01:53.832 GMT+0100,6253.18,6252.18
22.06.2016 08:01:53.922 GMT+0100,6252.72,6251.8
22.06.2016 08:01:53.972 GMT+0100,6252.72,6252
22.06.2016 08:01:54.334 GMT+0100,6252.277,6250.83
22.06.2016 08:01:54.435 GMT+0100,6251.9,6251.8
22.06.2016 08:01:54.485 GMT+0100,6252.06,6251.8
22.06.2016 08:01:54.574 GMT+0100,6252.12,6252
22.06.2016 08:01:54.674 GMT+0100,6252.06,6251.8
22.06.2016 08:01:54.725 GMT+0100,6251.843,6249.93
22.06.2016 08:01:54.912 GMT+0100,6252.26,6251.26
22.06.2016 08:01:55.242 GMT+0100,6252.79,6251.37
22.06.2016 08:01:55.549 GMT+0100,6253.76,6251.78
22.06.2016 08:01:56.053 GMT+0100,6253.72,6252.16
22.06.2016 08:01:56.392 GMT+0100,6253.517,6252.25
22.06.2016 08:01:56.748 GMT+0100,6253.74,6252.12
22.06.2016 08:01:57.086 GMT+0100,6254.853,6251.96
22.06.2016 08:01:57.388 GMT+0100,6256.127,6254.28
22.06.2016 08:01:57.714 GMT+0100,6256.46,6255.46
22.06.2016 08:01:58.293 GMT+0100,6256.13,6256
22.06.2016 08:01:58.433 GMT+0100,6256.16,6256
22.06.2016 08:01:58.653 GMT+0100,6255.927,6253.78
22.06.2016 08:01:59.318 GMT+0100,6256.843,6255.23
22.06.2016 08:01:59.699 GMT+0100,6257.767,6256.2
22.06.2016 08:02:00.001 GMT+0100,6258.123,6256.37
22.06.2016 08:02:00.326 GMT+0100,6258.957,6257.57
22.06.2016 08:02:00.656 GMT+0100,6258.73,6258.5
22.06.2016 08:02:00.710 GMT+0100,6258.73,6258.3
22.06.2016 08:02:00.962 GMT+0100,6258.127,6256.78
22.06.2016 08:02:01.183 GMT+0100,6258.76,6257.48
22.06.2016 08:02:01.511 GMT+0100,6258.48,6258.3
22.06.2016 08:02:01.561 GMT+0100,6258.523,6256.97
22.06.2016 08:02:01.773 GMT+0100,6258.42,6257.42
22.06.2016 08:02:02.212 GMT+0100,6258.87,6257.87
22.06.2016 08:02:02.542 GMT+0100,6258.83,6258
22.06.2016 08:02:02.733 GMT+0100,6258.83,6257.643
22.06.2016 08:02:02.783 GMT+0100,6257.73,6256.8
22.06.2016 08:02:03.185 GMT+0100,6257.66,6257.5
22.06.2016 08:02:03.235 GMT+0100,6257.82,6256.46
22.06.2016 08:02:03.588 GMT+0100,6257.46,6256.8
22.06.2016 08:02:03.689 GMT+0100,6257.66,6256.8
22.06.2016 08:02:03.739 GMT+0100,6257.66,6257.3
22.06.2016 08:02:04.089 GMT+0100,6257.66,6257.5
22.06.2016 08:02:04.423 GMT+0100,6257.12,6257
